_index,_type,_id,_score,_source,sort,SYS_EXEC_DURATION
db_accounts,_doc,368,,"{'account_number': 368, 'firstname': 'Hooper', 'address': '892 Taaffe Place', 'balance': 23535, 'gender': 'M', 'city': 'Nutrioso', 'employer': 'Zaggle', 'state': 'ME', 'age': 39, 'email': 'hoopertyson@zaggle.com', 'lastname': 'Tyson'}",[0.009288079328828802],2.48589
db_accounts,_doc,437,,"{'account_number': 437, 'firstname': 'Rosales', 'address': '873 Ryerson Street', 'balance': 41225, 'gender': 'M', 'city': 'Allendale', 'employer': 'Ronelon', 'state': 'CA', 'age': 29, 'email': 'rosalesmarquez@ronelon.com', 'lastname': 'Marquez'}",[0.010259240096401001],2.48589
db_accounts,_doc,474,,"{'account_number': 474, 'firstname': 'Obrien', 'address': '192 Ide Court', 'balance': 35896, 'gender': 'F', 'city': 'Crucible', 'employer': 'Suremax', 'state': 'UT', 'age': 40, 'email': 'obrienwalton@suremax.com', 'lastname': 'Walton'}",[0.011731913636935043],2.48589
db_accounts,_doc,547,,"{'account_number': 547, 'firstname': 'Eaton', 'address': '744 Withers Street', 'balance': 12870, 'gender': 'M', 'city': 'Chelsea', 'employer': 'Podunk', 'state': 'IA', 'age': 32, 'email': 'eatonrios@podunk.com', 'lastname': 'Rios'}",[0.02248524967849197],2.48589
db_accounts,_doc,25,,"{'account_number': 25, 'firstname': 'Virginia', 'address': '171 Putnam Avenue', 'balance': 40540, 'gender': 'F', 'city': 'Nicholson', 'employer': 'Filodyne', 'state': 'PA', 'age': 39, 'email': 'virginiaayala@filodyne.com', 'lastname': 'Ayala'}",[0.02385381562906852],2.48589
db_accounts,_doc,680,,"{'account_number': 680, 'firstname': 'Melton', 'address': '771 Montana Place', 'balance': 31561, 'gender': 'F', 'city': 'Sparkill', 'employer': 'Insuresys', 'state': 'IN', 'age': 32, 'email': 'meltoncamacho@insuresys.com', 'lastname': 'Camacho'}",[0.02787025644985841],2.48589
db_accounts,_doc,492,,"{'account_number': 492, 'firstname': 'Burnett', 'address': '987 Cass Place', 'balance': 31055, 'gender': 'M', 'city': 'Cornfields', 'employer': 'Pharmex', 'state': 'TX', 'age': 35, 'email': 'burnettbriggs@pharmex.com', 'lastname': 'Briggs'}",[0.02895972105520772],2.48589
db_accounts,_doc,771,,"{'account_number': 771, 'firstname': 'Jocelyn', 'address': '513 Division Avenue', 'balance': 32784, 'gender': 'M', 'city': 'Lisco', 'employer': 'Collaire', 'state': 'VT', 'age': 23, 'email': 'jocelynboone@collaire.com', 'lastname': 'Boone'}",[0.03195406334215023],2.48589
db_accounts,_doc,308,,"{'account_number': 308, 'firstname': 'Glass', 'address': '670 Veterans Avenue', 'balance': 33989, 'gender': 'F', 'city': 'Gratton', 'employer': 'Realmo', 'state': 'NY', 'age': 25, 'email': 'glassschroeder@realmo.com', 'lastname': 'Schroeder'}",[0.03216019730903419],2.48589
db_accounts,_doc,940,,"{'account_number': 940, 'firstname': 'Melinda', 'address': '806 Kossuth Place', 'balance': 23285, 'gender': 'M', 'city': 'Coaldale', 'employer': 'Kneedles', 'state': 'OK', 'age': 38, 'email': 'melindamendoza@kneedles.com', 'lastname': 'Mendoza'}",[0.12471106251200159],2.48589
