"TABLE","TABLE_ROWS","COMBI_FIELD_NAME","FIELD_NAME","FIELD_VALUE","COMBI_ROW_COUNT","COMBI_RATIO_PERCENT"
"HumanResources.Department","16","DepartmentID","DepartmentID","4","1","6.25%"
"HumanResources.Department","16","DepartmentID","DepartmentID","3","1","6.25%"
"HumanResources.Department","16","DepartmentID","DepartmentID","2","1","6.25%"
"HumanResources.Department","16","DepartmentID","DepartmentID","16","1","6.25%"
"HumanResources.Department","16","DepartmentID","DepartmentID","15","1","6.25%"
"HumanResources.Department","16","DepartmentID","DepartmentID","14","1","6.25%"
"HumanResources.Department","16","DepartmentID","DepartmentID","13","1","6.25%"
"HumanResources.Department","16","DepartmentID","DepartmentID","12","1","6.25%"
"HumanResources.Department","16","DepartmentID","DepartmentID","11","1","6.25%"
"HumanResources.Department","16","DepartmentID","DepartmentID","10","1","6.25%"
"HumanResources.Department","16","GroupName","GroupName","Executive General and Administration","5","31.25%"
"HumanResources.Department","16","GroupName","GroupName","Research and Development","3","18.75%"
"HumanResources.Department","16","GroupName","GroupName","Sales and Marketing","2","12.50%"
"HumanResources.Department","16","GroupName","GroupName","Quality Assurance","2","12.50%"
"HumanResources.Department","16","GroupName","GroupName","Manufacturing","2","12.50%"
"HumanResources.Department","16","GroupName","GroupName","Inventory Management","2","12.50%"
"HumanResources.Department","16","ModifiedDate","ModifiedDate","Apr 30 2008 12:00AM","16","100.00%"
"HumanResources.Department","16","Name","Name","Purchasing","1","6.25%"
"HumanResources.Department","16","Name","Name","Production Control","1","6.25%"
"HumanResources.Department","16","Name","Name","Production","1","6.25%"
"HumanResources.Department","16","Name","Name","Marketing","1","6.25%"
"HumanResources.Department","16","Name","Name","Information Services","1","6.25%"
"HumanResources.Department","16","Name","Name","Human Resources","1","6.25%"
"HumanResources.Department","16","Name","Name","Finance","1","6.25%"
"HumanResources.Department","16","Name","Name","Facilities and Maintenance","1","6.25%"
"HumanResources.Department","16","Name","Name","Executive","1","6.25%"
"HumanResources.Department","16","Name","Name","Engineering","1","6.25%"
"HumanResources.Employee","290","BusinessEntityID","BusinessEntityID","108","1","0.34%"
"HumanResources.Employee","290","BusinessEntityID","BusinessEntityID","107","1","0.34%"
"HumanResources.Employee","290","BusinessEntityID","BusinessEntityID","106","1","0.34%"
"HumanResources.Employee","290","BusinessEntityID","BusinessEntityID","105","1","0.34%"
"HumanResources.Employee","290","BusinessEntityID","BusinessEntityID","104","1","0.34%"
"HumanResources.Employee","290","BusinessEntityID","BusinessEntityID","103","1","0.34%"
"HumanResources.Employee","290","BusinessEntityID","BusinessEntityID","102","1","0.34%"
"HumanResources.Employee","290","BusinessEntityID","BusinessEntityID","101","1","0.34%"
"HumanResources.Employee","290","BusinessEntityID","BusinessEntityID","100","1","0.34%"
"HumanResources.Employee","290","BusinessEntityID","BusinessEntityID","10","1","0.34%"
"HumanResources.Employee","290","NationalIDNumber","NationalIDNumber","134219713","1","0.34%"
"HumanResources.Employee","290","NationalIDNumber","NationalIDNumber","132674823","1","0.34%"
"HumanResources.Employee","290","NationalIDNumber","NationalIDNumber","131471224","1","0.34%"
"HumanResources.Employee","290","NationalIDNumber","NationalIDNumber","1300049","1","0.34%"
"HumanResources.Employee","290","NationalIDNumber","NationalIDNumber","121491555","1","0.34%"
"HumanResources.Employee","290","NationalIDNumber","NationalIDNumber","113695504","1","0.34%"
"HumanResources.Employee","290","NationalIDNumber","NationalIDNumber","113393530","1","0.34%"
"HumanResources.Employee","290","NationalIDNumber","NationalIDNumber","112457891","1","0.34%"
"HumanResources.Employee","290","NationalIDNumber","NationalIDNumber","112432117","1","0.34%"
"HumanResources.Employee","290","NationalIDNumber","NationalIDNumber","109272464","1","0.34%"
"HumanResources.Employee","290","OrganizationLevel","OrganizationLevel","4","190","65.52%"
"HumanResources.Employee","290","OrganizationLevel","OrganizationLevel","3","66","22.76%"
"HumanResources.Employee","290","OrganizationLevel","OrganizationLevel","2","27","9.31%"
"HumanResources.Employee","290","OrganizationLevel","OrganizationLevel","1","6","2.07%"
"HumanResources.Employee","290","OrganizationLevel","OrganizationLevel","**NULL**","1","0.34%"
"HumanResources.Employee","290","SalariedFlag","SalariedFlag","0","238","82.07%"
"HumanResources.Employee","290","SalariedFlag","SalariedFlag","1","52","17.93%"
"HumanResources.Employee","290","SickLeaveHours","SickLeaveHours","64","7","2.41%"
"HumanResources.Employee","290","SickLeaveHours","SickLeaveHours","24","6","2.07%"
"HumanResources.Employee","290","SickLeaveHours","SickLeaveHours","23","6","2.07%"
"HumanResources.Employee","290","SickLeaveHours","SickLeaveHours","22","6","2.07%"
"HumanResources.Employee","290","SickLeaveHours","SickLeaveHours","21","6","2.07%"
