"TABLE","TABLE_ROWS","COMBI_FIELD_NAME","FIELD_NAME","FIELD_VALUE","COMBI_ROW_COUNT","COMBI_RATIO_PERCENT"
"classicmodels.customers","122","addressLine1","addressLine1","C/ Moralzarzal, 86","1","0.82%"
"classicmodels.customers","122","addressLine1","addressLine1","Smagsloget 45","1","0.82%"
"classicmodels.customers","122","addressLine1","addressLine1","Maubelstr. 90","1","0.82%"
"classicmodels.customers","122","addressLine1","addressLine1","C/ Araquil, 67","1","0.82%"
"classicmodels.customers","122","addressLine1","addressLine1","Fauntleroy Circus","1","0.82%"
"classicmodels.customers","122","addressLine1","addressLine1","Drammensveien 126A","1","0.82%"
"classicmodels.customers","122","addressLine1","addressLine1","2-2-8 Roppongi","1","0.82%"
"classicmodels.customers","122","addressLine1","addressLine1","7586 Pompton St.","1","0.82%"
"classicmodels.customers","122","addressLine1","addressLine1","Magazinweg 7","1","0.82%"
"classicmodels.customers","122","addressLine1","addressLine1","59 rue de l'Abbaye","1","0.82%"
"classicmodels.customers","122","phone","phone","6175558555","2","1.64%"
"classicmodels.customers","122","phone","phone","(91) 555 94 44","1","0.82%"
"classicmodels.customers","122","phone","phone","86 21 3555","1","0.82%"
"classicmodels.customers","122","phone","phone","0555-09555","1","0.82%"
"classicmodels.customers","122","phone","phone","0241-039123","1","0.82%"
"classicmodels.customers","122","phone","phone","(171) 555-1555","1","0.82%"
"classicmodels.customers","122","phone","phone","+47 2212 1555","1","0.82%"
"classicmodels.customers","122","phone","phone","(1) 47.55.6555","1","0.82%"
"classicmodels.customers","122","phone","phone","2155551555","1","0.82%"
"classicmodels.customers","122","phone","phone","069-0555984","1","0.82%"
"classicmodels.customers","122","postalCode","postalCode","**NULL**","7","5.74%"
"classicmodels.customers","122","postalCode","postalCode","94217","5","4.10%"
"classicmodels.customers","122","postalCode","postalCode","10022","5","4.10%"
"classicmodels.customers","122","postalCode","postalCode","28023","3","2.46%"
"classicmodels.customers","122","postalCode","postalCode","58339","3","2.46%"
"classicmodels.customers","122","postalCode","postalCode","60528","2","1.64%"
"classicmodels.customers","122","postalCode","postalCode","44000","2","1.64%"
"classicmodels.customers","122","postalCode","postalCode","94019","2","1.64%"
"classicmodels.customers","122","postalCode","postalCode","97562","2","1.64%"
"classicmodels.customers","122","postalCode","postalCode","97823","2","1.64%"
"classicmodels.customers","122","state","state","**NULL**","73","59.84%"
"classicmodels.customers","122","state","state","CA","11","9.02%"
"classicmodels.customers","122","state","state","MA","9","7.38%"
"classicmodels.customers","122","state","state","NY","6","4.92%"
"classicmodels.customers","122","state","state","CT","4","3.28%"
"classicmodels.customers","122","state","state","PA","3","2.46%"
"classicmodels.customers","122","state","state","BC","2","1.64%"
"classicmodels.customers","122","state","state","Victoria","2","1.64%"
"classicmodels.customers","122","state","state","NSW","2","1.64%"
"classicmodels.customers","122","state","state","Québec","1","0.82%"
"classicmodels.customers","122","salesRepEmployeeNumber","salesRepEmployeeNumber","**NULL**","22","18.03%"
"classicmodels.customers","122","salesRepEmployeeNumber","salesRepEmployeeNumber","1401","10","8.20%"
"classicmodels.customers","122","salesRepEmployeeNumber","salesRepEmployeeNumber","1504","9","7.38%"
"classicmodels.customers","122","salesRepEmployeeNumber","salesRepEmployeeNumber","1501","8","6.56%"
"classicmodels.customers","122","salesRepEmployeeNumber","salesRepEmployeeNumber","1323","8","6.56%"
"classicmodels.customers","122","salesRepEmployeeNumber","salesRepEmployeeNumber","1370","7","5.74%"
"classicmodels.customers","122","salesRepEmployeeNumber","salesRepEmployeeNumber","1286","7","5.74%"
"classicmodels.customers","122","salesRepEmployeeNumber","salesRepEmployeeNumber","1188","6","4.92%"
"classicmodels.customers","122","salesRepEmployeeNumber","salesRepEmployeeNumber","1216","6","4.92%"
"classicmodels.customers","122","salesRepEmployeeNumber","salesRepEmployeeNumber","1165","6","4.92%"
"classicmodels.customers","122","addressLine2","addressLine2","**NULL**","100","81.97%"
"classicmodels.customers","122","addressLine2","addressLine2","Suite 101","2","1.64%"
"classicmodels.customers","122","addressLine2","addressLine2","SEC Oy","1","0.82%"
"classicmodels.customers","122","addressLine2","addressLine2","Bronz Apt. 3/6 Tesvikiye","1","0.82%"
"classicmodels.customers","122","addressLine2","addressLine2","Alessandro Volta 16","1","0.82%"
"classicmodels.customers","122","addressLine2","addressLine2","8 Temasek","1","0.82%"
"classicmodels.customers","122","addressLine2","addressLine2","Level 2","1","0.82%"
"classicmodels.customers","122","addressLine2","addressLine2","Level 3","1","0.82%"
"classicmodels.customers","122","addressLine2","addressLine2","Suite 200","1","0.82%"
"classicmodels.customers","122","addressLine2","addressLine2","Floor No. 4","1","0.82%"
"classicmodels.customers","122","customerNumber","customerNumber","146","1","0.82%"
"classicmodels.customers","122","customerNumber","customerNumber","187","1","0.82%"
"classicmodels.customers","122","customerNumber","customerNumber","239","1","0.82%"
"classicmodels.customers","122","customerNumber","customerNumber","299","1","0.82%"
