"TABLE","TABLE_ROWS","COMBI_FIELD_NAME","FIELD_NAME","FIELD_VALUE","COMBI_ROW_COUNT","COMBI_RATIO_PERCENT"
"OT.CONTACTS","319","CONTACT_ID","CONTACT_ID","1","1","0.31%"
"OT.CONTACTS","319","CONTACT_ID","CONTACT_ID","2","1","0.31%"
"OT.CONTACTS","319","CONTACT_ID","CONTACT_ID","3","1","0.31%"
"OT.CONTACTS","319","CONTACT_ID","CONTACT_ID","4","1","0.31%"
"OT.CONTACTS","319","CONTACT_ID","CONTACT_ID","10","1","0.31%"
"OT.CONTACTS","319","CONTACT_ID","CONTACT_ID","6","1","0.31%"
"OT.CONTACTS","319","CONTACT_ID","CONTACT_ID","7","1","0.31%"
"OT.CONTACTS","319","CONTACT_ID","CONTACT_ID","8","1","0.31%"
"OT.CONTACTS","319","CONTACT_ID","CONTACT_ID","9","1","0.31%"
"OT.CONTACTS","319","CONTACT_ID","CONTACT_ID","5","1","0.31%"
"OT.CONTACTS","319","CUSTOMER_ID","CUSTOMER_ID","123","1","0.31%"
"OT.CONTACTS","319","CUSTOMER_ID","CUSTOMER_ID","129","1","0.31%"
"OT.CONTACTS","319","CUSTOMER_ID","CUSTOMER_ID","138","1","0.31%"
"OT.CONTACTS","319","CUSTOMER_ID","CUSTOMER_ID","151","1","0.31%"
"OT.CONTACTS","319","CUSTOMER_ID","CUSTOMER_ID","179","1","0.31%"
"OT.CONTACTS","319","CUSTOMER_ID","CUSTOMER_ID","153","1","0.31%"
"OT.CONTACTS","319","CUSTOMER_ID","CUSTOMER_ID","167","1","0.31%"
"OT.CONTACTS","319","CUSTOMER_ID","CUSTOMER_ID","168","1","0.31%"
"OT.CONTACTS","319","CUSTOMER_ID","CUSTOMER_ID","173","1","0.31%"
"OT.CONTACTS","319","CUSTOMER_ID","CUSTOMER_ID","152","1","0.31%"
"OT.CONTACTS","319","EMAIL","EMAIL","kellee.molina@hp.com","1","0.31%"
"OT.CONTACTS","319","EMAIL","EMAIL","neda.mcfadden@bankofamerica.com","1","0.31%"
"OT.CONTACTS","319","EMAIL","EMAIL","leandro.west@marathonpetroleum.com","1","0.31%"
"OT.CONTACTS","319","EMAIL","EMAIL","lino.noble@caterpillar.com","1","0.31%"
"OT.CONTACTS","319","EMAIL","EMAIL","heidy.massey@massmutual.com","1","0.31%"
"OT.CONTACTS","319","EMAIL","EMAIL","amado.jefferson@energytransfer.com","1","0.31%"
"OT.CONTACTS","319","EMAIL","EMAIL","audrie.cannon@delta.com","1","0.31%"
"OT.CONTACTS","319","EMAIL","EMAIL","jame.calhoun@bestbuy.com","1","0.31%"
"OT.CONTACTS","319","EMAIL","EMAIL","jackeline.finley@mastercard.com","1","0.31%"
"OT.CONTACTS","319","EMAIL","EMAIL","heike.emerson@newyorklife.com","1","0.31%"
"OT.CONTACTS","319","FIRST_NAME","FIRST_NAME","Maurice","3","0.94%"
"OT.CONTACTS","319","FIRST_NAME","FIRST_NAME","Geraldine","2","0.63%"
"OT.CONTACTS","319","FIRST_NAME","FIRST_NAME","Sherron","2","0.63%"
"OT.CONTACTS","319","FIRST_NAME","FIRST_NAME","Tandy","2","0.63%"
"OT.CONTACTS","319","FIRST_NAME","FIRST_NAME","Keesha","2","0.63%"
"OT.CONTACTS","319","FIRST_NAME","FIRST_NAME","Matthias","2","0.63%"
"OT.CONTACTS","319","FIRST_NAME","FIRST_NAME","Maryrose","2","0.63%"
"OT.CONTACTS","319","FIRST_NAME","FIRST_NAME","Jame","2","0.63%"
"OT.CONTACTS","319","FIRST_NAME","FIRST_NAME","Princess","2","0.63%"
"OT.CONTACTS","319","FIRST_NAME","FIRST_NAME","Shelia","2","0.63%"
"OT.CONTACTS","319","LAST_NAME","LAST_NAME","Schneider","3","0.94%"
"OT.CONTACTS","319","LAST_NAME","LAST_NAME","Elliott","3","0.94%"
"OT.CONTACTS","319","LAST_NAME","LAST_NAME","Estrada","3","0.94%"
"OT.CONTACTS","319","LAST_NAME","LAST_NAME","Cain","3","0.94%"
"OT.CONTACTS","319","LAST_NAME","LAST_NAME","Rutledge","2","0.63%"
"OT.CONTACTS","319","LAST_NAME","LAST_NAME","Walters","2","0.63%"
"OT.CONTACTS","319","LAST_NAME","LAST_NAME","Calhoun","2","0.63%"
"OT.CONTACTS","319","LAST_NAME","LAST_NAME","Stokes","2","0.63%"
"OT.CONTACTS","319","LAST_NAME","LAST_NAME","Hill","2","0.63%"
"OT.CONTACTS","319","LAST_NAME","LAST_NAME","Wilkinson","2","0.63%"
"OT.CONTACTS","319","PHONE","PHONE","+1 215 123 4738","1","0.31%"
"OT.CONTACTS","319","PHONE","PHONE","+1 410 123 4795","1","0.31%"
"OT.CONTACTS","319","PHONE","PHONE","+1 301 123 4818","1","0.31%"
"OT.CONTACTS","319","PHONE","PHONE","+1 507 123 4387","1","0.31%"
"OT.CONTACTS","319","PHONE","PHONE","+39 10 012 4363","1","0.31%"
"OT.CONTACTS","319","PHONE","PHONE","+1 320 123 4385","1","0.31%"
"OT.CONTACTS","319","PHONE","PHONE","+1 414 123 4340","1","0.31%"
"OT.CONTACTS","319","PHONE","PHONE","+1 315 123 4585","1","0.31%"
"OT.CONTACTS","319","PHONE","PHONE","+1 215 123 4751","1","0.31%"
"OT.CONTACTS","319","PHONE","PHONE","+1 219 123 4145","1","0.31%"
"OT.COUNTRIES","25","COUNTRY_ID","COUNTRY_ID","AR","1","4.00%"
"OT.COUNTRIES","25","COUNTRY_ID","COUNTRY_ID","AU","1","4.00%"
"OT.COUNTRIES","25","COUNTRY_ID","COUNTRY_ID","BE","1","4.00%"
"OT.COUNTRIES","25","COUNTRY_ID","COUNTRY_ID","BR","1","4.00%"
"OT.COUNTRIES","25","COUNTRY_ID","COUNTRY_ID","EG","1","4.00%"
"OT.COUNTRIES","25","COUNTRY_ID","COUNTRY_ID","CH","1","4.00%"
"OT.COUNTRIES","25","COUNTRY_ID","COUNTRY_ID","CN","1","4.00%"
"OT.COUNTRIES","25","COUNTRY_ID","COUNTRY_ID","DE","1","4.00%"
"OT.COUNTRIES","25","COUNTRY_ID","COUNTRY_ID","DK","1","4.00%"
"OT.COUNTRIES","25","COUNTRY_ID","COUNTRY_ID","CA","1","4.00%"
"OT.COUNTRIES","25","COUNTRY_NAME","COUNTRY_NAME","Brazil","1","4.00%"
"OT.COUNTRIES","25","COUNTRY_NAME","COUNTRY_NAME","Denmark","1","4.00%"
"OT.COUNTRIES","25","COUNTRY_NAME","COUNTRY_NAME","Zambia","1","4.00%"
"OT.COUNTRIES","25","COUNTRY_NAME","COUNTRY_NAME","Zimbabwe","1","4.00%"
"OT.COUNTRIES","25","COUNTRY_NAME","COUNTRY_NAME","France","1","4.00%"
"OT.COUNTRIES","25","COUNTRY_NAME","COUNTRY_NAME","Malaysia","1","4.00%"
"OT.COUNTRIES","25","COUNTRY_NAME","COUNTRY_NAME","United Kingdom","1","4.00%"
"OT.COUNTRIES","25","COUNTRY_NAME","COUNTRY_NAME","United States of America","1","4.00%"
"OT.COUNTRIES","25","COUNTRY_NAME","COUNTRY_NAME","Germany","1","4.00%"
"OT.COUNTRIES","25","COUNTRY_NAME","COUNTRY_NAME","China","1","4.00%"
"OT.COUNTRIES","25","REGION_ID","REGION_ID","1","8","32.00%"
"OT.COUNTRIES","25","REGION_ID","REGION_ID","4","6","24.00%"
"OT.COUNTRIES","25","REGION_ID","REGION_ID","3","6","24.00%"
"OT.COUNTRIES","25","REGION_ID","REGION_ID","2","5","20.00%"
"OT.CUSTOMERS","319","ADDRESS","ADDRESS","1592 Silverado St, Bangalore, Kar","2","0.63%"
"OT.CUSTOMERS","319","ADDRESS","ADDRESS","1617 Crackers St, Bangalore - India, Kar","2","0.63%"
"OT.CUSTOMERS","319","ADDRESS","ADDRESS","Via Delle Capeletti 52, San Giminiano,","2","0.63%"
"OT.CUSTOMERS","319","ADDRESS","ADDRESS","1593 Silverado St, Bangalore, Kar","2","0.63%"
"OT.CUSTOMERS","319","ADDRESS","ADDRESS","9936 Dexter Ave, Detroit, MI","1","0.31%"
"OT.CUSTOMERS","319","ADDRESS","ADDRESS","136 E Market St # 800, Indianapolis, IN","1","0.31%"
